[21:56:04] [INFO] received Windows console close event; shutting log-core down
[21:57:16] [INFO] received Windows console close event; shutting log-core down
[21:58:15] [INFO] received Windows console close event; shutting log-core down
[22:00:12] [INFO] received Windows console close event; shutting log-core down
[22:01:13] [INFO] received Windows console close event; shutting log-core down
[11:34:43] [INFO] received Windows console close event; shutting log-core down
[11:36:52] [INFO] received Windows console close event; shutting log-core down
[11:39:31] [INFO] received Windows console close event; shutting log-core down
[11:43:19] [INFO] received Windows console close event; shutting log-core down
[11:45:35] [INFO] received Windows console close event; shutting log-core down
[11:47:26] [INFO] received Windows console close event; shutting log-core down
[11:47:58] [INFO] received Windows console close event; shutting log-core down
[11:51:42] [INFO] received Windows console close event; shutting log-core down
[11:53:14] [INFO] received Windows console close event; shutting log-core down
[11:55:57] [INFO] received Windows console close event; shutting log-core down
[11:57:17] [INFO] received Windows console close event; shutting log-core down
[11:59:25] [INFO] received Windows console close event; shutting log-core down
[12:02:08] [INFO] received Windows console close event; shutting log-core down
[12:03:45] [INFO] received Windows console close event; shutting log-core down
[15:15:09] [INFO] received Windows console close event; shutting log-core down
[15:18:01] [INFO] received Windows console close event; shutting log-core down
[15:21:30] [INFO] received Windows console close event; shutting log-core down
[15:23:32] [INFO] received Windows console close event; shutting log-core down
[15:25:15] [INFO] received Windows console close event; shutting log-core down
[15:30:42] [INFO] received Windows console close event; shutting log-core down
[15:31:19] [INFO] received Windows console close event; shutting log-core down
[15:31:44] [INFO] received Windows console close event; shutting log-core down
[15:32:28] [INFO] received Windows console close event; shutting log-core down
[15:33:39] [INFO] received Windows console close event; shutting log-core down
[15:34:37] [INFO] received Windows console close event; shutting log-core down
[19:26:41] [INFO] received Windows console close event; shutting log-core down
[19:38:15] [INFO] received Windows console close event; shutting log-core down
[19:56:48] [INFO] received Windows console close event; shutting log-core down
[09:22:01] [INFO] received Windows console close event; shutting log-core down
[09:23:09] [INFO] received Windows console close event; shutting log-core down
[09:29:17] [INFO] received Windows console close event; shutting log-core down
[09:30:33] [INFO] received Windows console close event; shutting log-core down
[09:31:57] [INFO] received Windows console close event; shutting log-core down
[09:32:30] [INFO] received Windows console close event; shutting log-core down
[09:35:23] [INFO] received Windows console close event; shutting log-core down
[21:45:29] [INFO] received Windows console close event; shutting log-core down
[21:45:38] [INFO] received Windows console close event; shutting log-core down
[21:46:01] [INFO] received Windows console close event; shutting log-core down
[21:46:01] [INFO] received Windows console close event; shutting log-core down
[21:46:01] [INFO] received Windows console close event; shutting log-core down
[21:46:02] [INFO] received Windows console close event; shutting log-core down
[21:57:49] [INFO] received Windows console close event; shutting log-core down
[10:56:25] [INFO] received Windows console close event; shutting log-core down
[10:59:36] [INFO] received Windows console close event; shutting log-core down
[11:00:36] [INFO] received Windows console close event; shutting log-core down
[11:01:29] [INFO] received Windows console close event; shutting log-core down
[12:33:17] [INFO] received Windows console close event; shutting log-core down
[12:34:43] [INFO] received Windows console close event; shutting log-core down
[12:41:38] [INFO] received Windows console close event; shutting log-core down
[12:42:30] [INFO] received Windows console close event; shutting log-core down
[13:33:18] [INFO] received Windows console close event; shutting log-core down
[13:35:53] [INFO] received Windows console close event; shutting log-core down
[13:37:07] [INFO] received Windows console close event; shutting log-core down
[13:37:10] [INFO] received Windows console close event; shutting log-core down
[13:42:46] [INFO] received Windows console close event; shutting log-core down
[13:44:51] [INFO] received Windows console close event; shutting log-core down
[13:49:13] [INFO] received Windows console close event; shutting log-core down
[13:49:31] [INFO] received Windows console close event; shutting log-core down
[13:50:12] [INFO] received Windows console close event; shutting log-core down
[13:50:48] [INFO] received Windows console close event; shutting log-core down
[13:51:28] [INFO] received Windows console close event; shutting log-core down
[13:52:29] [INFO] received Windows console close event; shutting log-core down
[13:55:10] [INFO] received Windows console close event; shutting log-core down
[13:55:13] [INFO] received Windows console close event; shutting log-core down
[13:56:24] [INFO] received Windows console close event; shutting log-core down
[13:57:56] [INFO] received Windows console close event; shutting log-core down
[14:00:36] [INFO] received Windows console close event; shutting log-core down
[14:01:37] [INFO] received Windows console close event; shutting log-core down
[14:21:10] [INFO] received Windows console close event; shutting log-core down
[14:29:27] [INFO] received Windows console close event; shutting log-core down
[17:20:45] [INFO] received Windows console close event; shutting log-core down
[17:26:06] [INFO] received Windows console close event; shutting log-core down
[17:28:46] [INFO] received Windows console close event; shutting log-core down
[17:30:00] [INFO] received Windows console close event; shutting log-core down
[17:38:59] [INFO] received Windows console close event; shutting log-core down
[17:40:28] [INFO] received Windows console close event; shutting log-core down
[17:43:09] [INFO] received Windows console close event; shutting log-core down
[17:44:23] [INFO] received Windows console close event; shutting log-core down
[17:49:46] [INFO] received Windows console close event; shutting log-core down
[18:35:59] [INFO] received Windows console close event; shutting log-core down
[19:48:32] [INFO] received Windows console close event; shutting log-core down
[20:07:45] [INFO] received Windows console close event; shutting log-core down
[20:15:15] [INFO] received Windows console close event; shutting log-core down
[21:21:48] [INFO] received Windows console close event; shutting log-core down
[12:11:26] [INFO] received Windows console close event; shutting log-core down
[12:25:43] [INFO] received Windows console close event; shutting log-core down
[12:40:25] [INFO] received Windows console close event; shutting log-core down
[14:42:41] [INFO] received Windows console close event; shutting log-core down
[14:44:06] [INFO] received Windows console close event; shutting log-core down
[14:45:22] [INFO] received Windows console close event; shutting log-core down
[14:49:11] [INFO] received Windows console close event; shutting log-core down
[15:04:39] [INFO] received Windows console close event; shutting log-core down
[15:08:27] [INFO] received Windows console close event; shutting log-core down
[15:10:39] [INFO] received Windows console close event; shutting log-core down
[15:13:33] [INFO] received Windows console close event; shutting log-core down
[15:14:17] [INFO] received Windows console close event; shutting log-core down
[15:15:14] [INFO] received Windows console close event; shutting log-core down
[15:21:00] [INFO] received Windows console close event; shutting log-core down
[15:23:27] [INFO] received Windows console close event; shutting log-core down
[15:24:43] [INFO] received Windows console close event; shutting log-core down
[15:26:27] [INFO] received Windows console close event; shutting log-core down
[15:29:29] [INFO] received Windows console close event; shutting log-core down
[15:31:31] [INFO] received Windows console close event; shutting log-core down
[15:32:49] [INFO] received Windows console close event; shutting log-core down
[15:33:02] [INFO] received Windows console close event; shutting log-core down
[15:40:41] [INFO] received Windows console close event; shutting log-core down
[15:43:53] [INFO] received Windows console close event; shutting log-core down
[15:44:35] [INFO] received Windows console close event; shutting log-core down
[17:42:05] [INFO] received Windows console close event; shutting log-core down
[17:43:17] [INFO] received Windows console close event; shutting log-core down
[19:15:07] [INFO] received Windows console close event; shutting log-core down
[20:02:27] [INFO] received Windows console close event; shutting log-core down
[20:03:40] [INFO] received Windows console close event; shutting log-core down
[20:04:57] [INFO] received Windows console close event; shutting log-core down
[20:06:47] [INFO] received Windows console close event; shutting log-core down
[15:03:06] [INFO] received Windows console close event; shutting log-core down
[15:05:49] [INFO] received Windows console close event; shutting log-core down
[15:07:21] [INFO] received Windows console close event; shutting log-core down
[15:43:59] [INFO] received Windows console close event; shutting log-core down
[15:48:47] [INFO] received Windows console close event; shutting log-core down
[15:51:20] [INFO] received Windows console close event; shutting log-core down
[16:04:03] [INFO] received Windows console close event; shutting log-core down
[18:51:30] [INFO] received Windows console close event; shutting log-core down
[18:57:20] [INFO] received Windows console close event; shutting log-core down
[19:06:30] [INFO] received Windows console close event; shutting log-core down
[19:12:04] [INFO] received Windows console close event; shutting log-core down
[19:16:19] [INFO] received Windows console close event; shutting log-core down
[21:27:18] [INFO] received Windows console close event; shutting log-core down
[21:42:19] [INFO] received Windows console close event; shutting log-core down
[21:43:58] [INFO] received Windows console close event; shutting log-core down
[09:25:49] [INFO] received Windows console close event; shutting log-core down
[09:39:02] [INFO] received Windows console close event; shutting log-core down
[09:40:24] [INFO] received Windows console close event; shutting log-core down
[09:46:48] [INFO] received Windows console close event; shutting log-core down
[09:58:43] [INFO] received Windows console close event; shutting log-core down
[10:02:53] [INFO] received Windows console close event; shutting log-core down
